benchmark,n_train,n_test,mae,rmse,r2,corr
deepsjeng,265291,4064,0.2253856412373395,0.30984803742386496,0.3420824411934773,0.5884033412503558
gcc,234542,34813,0.09053561426982099,0.1585978371008465,0.7884721362241904,0.8890690062905766
mcf,268329,1026,0.2309167733602952,0.31678640060741875,0.4433753654062408,0.6667960255496578
omnetpp,190193,79162,0.18080122681555091,0.2826104922971522,0.46474130721972284,0.6942132999913014
perlbench,142342,127013,0.12503623586735532,0.2118629689158318,0.6164503384816233,0.7853931836054072
x264,251616,17739,0.13038351675664034,0.21222495082158124,0.6171443773539417,0.7867070093190708
xz,263817,5538,0.12668618356015932,0.210990406780202,0.6672042189294246,0.8181546370445901
